area,areasize,areatype,Bedrooms,price
Nallagandla,1560.0,super area,3,140.0
Tellapur,1000.0,carpet area,2,87.0
Rajendra Nagar,1221.0,carpet area,3,87.0
Bollaram,990.0,carpet area,2,48.0
,1460.0,super area,3,65.0
Mallampet,1080.0,super area,2,45.0
Beeramguda,1100.0,carpet area,2,43.0
Kukatpally,840.0,super area,2,45.0
Ghatkesar,1400.0,carpet area,2,7.4
,1500.0,super area,4,112.00000000000001
Nallagandla,1185.0,carpet area,2,83.0
Nallagandla,1270.0,super area,2,88.0
,9000.0,super area,2,139.0
Bandlaguda Jagir,1241.0,super area,3,65.0
Madhapur,1764.0,carpet area,3,120.0
Nagaram,1010.0,super area,2,48.5
Kompally,1560.0,super area,3,120.0
Appa junction,1180.0,super area,2,90.0
,1125.0,super area,2,47.0
Bandlaguda,1700.0,carpet area,3,114.99999999999999
Gowlidoddy,1496.0,carpet area,3,90.0
Kollur,900.0,carpet area,2,45.0
Miyapur,1260.0,super area,2,82.0
Gopanapalli,1400.0,carpet area,3,70.0
Bachupally,1135.0,super area,2,46.0
Bolarum,906.0,carpet area,2,72.0
Nizampet,1050.0,carpet area,2,58.0
Tukkuguda,1800.0,super area,3,72.0
Suraram Colony,6508.0,super area,6,145.0
Tukkuguda,1850.0,carpet area,3,105.0
Patancheru,967.0,super area,2,45.0
,1100.0,carpet area,2,39.0
Hema Nagar,1050.0,carpet area,2,52.2
,1170.0,super area,2,49.9
Patancheru,880.0,carpet area,2,45.0
Gandipet,1410.0,super area,2,95.0
Shamirpet,900.0,carpet area,2,22.0
Navodaya Colony-Kukatpally,1135.0,super area,2,76.0
Srisailam Highway,1100.0,super area,2,85.0
Gowlidoddy,1200.0,carpet area,2,70.0
Gachibowli,990.0,super area,2,81.0
Chandanagar,1555.0,carpet area,3,85.0
Mallampet,1150.0,carpet area,2,42.0
,1400.0,super area,3,70.0
Miyapur,1050.0,super area,2,55.0
Bowrampet,1000.0,super area,2,36.9
Manikonda,450.0,carpet area,2,60.0
Gachibowli,1198.0,super area,3,89.0
,55.0,super area,1,60.0
Pragathi Nagar,1000.0,carpet area,2,64.1
Rajendra Nagar,756.0,carpet area,2,57.0
Kuntloor,1130.0,super area,2,48.0
,1020.0,carpet area,2,25.0
,1150.0,carpet area,2,60.0
Sai Nagar Colony-Madhura Nagar,950.0,carpet area,2,47.0
Kompally,1665.0,super area,3,93.0
Vishali Nagar,1400.0,carpet area,3,95.0
,920.0,carpet area,2,35.0
Zamistanpur,700.0,super area,1,30.0
Bongloor,875.0,carpet area,2,50.0
Bongloor,850.0,carpet area,2,46.0
,1421.0,super area,3,60.0
Patancheru Industrial Area,1150.0,carpet area,2,50.0
Kistareddypet,150.0,carpet area,2,110.00000000000001
Ibrahimpatnam,1278.0,super area,4,70.0
Hitech City,1580.0,super area,3,123.0
Shameerpet,2025.0,super area,3,125.0
,1150.0,carpet area,2,52.0
Rajendra Nagar,1050.0,carpet area,3,95.0
Upparpally,1150.0,super area,2,60.0
,1900.0,super area,3,130.0
Peerzadiguda,2502.0,super area,2,140.0
Appa junction,1400.0,carpet area,2,98.0
,1575.0,super area,3,125.0
Gachibowli,1060.0,super area,2,85.0
,1675.0,super area,3,140.0
,1575.0,super area,4,95.0
Rampally,2348.0,super area,3,120.0
,1550.0,super area,3,69.0
Medchal,1200.0,carpet area,2,50.0
Dundigal,1380.0,super area,2,85.0
Gopanapalli,1260.0,super area,2,90.0
Bongloor,975.0,carpet area,2,50.0
,1430.0,super area,3,70.0
,3300.0,super area,8,135.0
Isnapur,960.0,super area,2,32.0
Gachibowli,1365.0,carpet area,2,110.00000000000001
Kandla Koya,1375.0,super area,2,50.0
Borabanda,180.0,carpet area,4,120.0
Bolarum,1075.0,super area,2,47.0
Kompally,1400.0,carpet area,2,83.5
Rajendra Nagar,1048.0,super area,2,80.0
Kukatpally,1185.0,carpet area,2,90.0
Parvathapur,510.0,super area,1,38.0
Bowrampet,1250.0,super area,2,55.0
Golconda Fort,297.0,super area,1,40.0
Bowenpally,1125.0,carpet area,> 10,110.00000000000001
Dullapally,1175.0,carpet area,2,45.0
Allwyn Colony,675.0,carpet area,4,90.0
Langar Houz,1078.0,carpet area,2,75.0
Aziz Bagh,1750.0,super area,3,144.0
Shaikpet,1890.0,super area,3,147.0
Sangareddy District,2000.0,carpet area,3,120.0
Ghatkesar,1477.0,super area,3,48.0
Happy Homes Colony,1000.0,carpet area,2,41.0
Friends Colony,1804.0,super area,4,98.0
,1305.0,super area,2,70.0
,900.0,super area,2,95.0
Beeramguda,1220.0,super area,2,58.6
,1190.0,super area,2,52.0
Ghatkesar,1000.0,carpet area,2,85.0
Allwyn Colony,647.0,super area,1,60.0
Dammaiguda,700.0,carpet area,2,83.0
,,,,59.8
Dabeerpura,3500.0,carpet area,8,130.0
Kowkur,850.0,carpet area,2,47.0
HUDA Layout,1161.0,super area,2,54.6
,1000.0,carpet area,2,50.0
Padmasri Estates,930.0,carpet area,2,44.0
Munganoor,1269.0,carpet area,3,75.0
Bongloor,1350.0,super area,2,70.0
Beeramguda,1800.0,carpet area,3,144.0
Saidabad,790.0,carpet area,2,65.0
Thorrur,945.0,carpet area,1,35.0
Karmika Nagar,500.0,super area,3,55.0
Kollur,1102.0,carpet area,3,50.0
Ghatkesar,1300.0,carpet area,2,68.0
,940.0,carpet area,5,82.0
Murad Nagar,950.0,super area,2,35.0
Sun City,1100.0,super area,2,55.0
,950.0,carpet area,2,45.0
Aramghar,1022.0,super area,2,60.0
,120.0,super area,4,83.0
Badangpet,900.0,super area,2,66.0
Sun City,1530.0,super area,3,50.0
Kompally,1345.0,carpet area,2,69.0
KTR Colony,1024.0,super area,2,45.0
,1365.0,super area,3,62.0
Saleheen Colony,1080.0,super area,3,55.0
Rajendra Nagar,1100.0,super area,2,70.0
Ravi Colony,900.0,carpet area,2,38.0
Kollur,1250.0,carpet area,2,50.0
Bachupally,1000.0,carpet area,2,50.0
Mahesh Housing Society,1506.0,super area,3,80.0
